paper_id,citation,year,title,venue,venue_type,pillar,paper_type,algorithm_or_model,role_in_thesis,problem,proposed_solution,claim,dataset_testbed,abstract
arxiv-1707.09861,Reimers and Gurevych (2017),2017,Reporting Score Distributions Makes a Difference: Performance Study of LSTM-networks for Sequence Tagging,Proceedings of the 2017 Conference on Empirical Methods in Natural Language Processing,conference,Methodology & Theory,experimental,BiLSTM-CRF sequence tagging architecture,Evaluates models across multiple random seeds to prevent false conclusions caused by score variation and stochastic optimization noise in sequence models.,Comparing single performance scores for neural networks causes false conclusions because different random seeds make models converge to distinct local minima that generalize differently.,The authors propose comparing score distributions across multiple runs with different random seeds and evaluating network design choices across thousands of configurations.,Comparing score distributions prevents false conclusions caused by random seed variations and identifies LSTM configurations that improve performance and stability across sequence tagging tasks.,"Penn Treebank (reduced to 500 training sentences), CoNLL 2000, CoNLL 2003, ACE 2005, TempEval3","In this paper†† This paper is published in the proceedings of EMNLP 2017. we show that reporting a single performance score is insufficient to compare non-deterministic approaches. We demonstrate for common sequence tagging tasks that the seed value for the random number generator can result in statistically significant (p<10−4p<10^{-4}) differences for state-of-the-art systems. For two recent systems for NER, we observe an absolute difference of one percentage point F1F\_{1}-score depending on the selected seed value, making these systems perceived either as state-of-the-art or mediocre. Instead of publishing and reporting single performance scores, we propose to compare score distributions based on multiple executions. Based on the evaluation of 50.000 LSTM-networks for five sequence tagging tasks, we present network architectures that produce both superior performance as well as are more stable with respect to the remaining hyperparameters. The full experimental results are published in [Reimers and Gurevych (2017)](#bib.bib30 """").11 1 [https://arxiv.org/abs/1707.06799](https://arxiv.org/abs/1707.06799 """") The implementation of our network is publicly available.22 2 [https://github.com/UKPLab/emnlp2017-bilstm-cnn-crf](https://github.com/UKPLab/emnlp2017-bilstm-cnn-crf """")"
doi-10.2753-MIS0742-1222240302,Peffers et al. (2007),2007,A Design Science Research Methodology for Information Systems Research,Journal of Management Information Systems,journal,Methodology & Theory,methodology-theory,Design Science Research Methodology (DSRM) process model,Structures the development and offline local deployment of the prototype web application as an operational demonstration artifact.,"Although design science was established as a legitimate information systems research paradigm in the early 1990s, it saw little adoption because the field lacked a commonly accepted methodology and a shared mental model for conducting, presenting, and evaluating such research.","The authors develop the Design Science Research Methodology (DSRM), a nominal six-step process model of problem identification and motivation, definition of solution objectives, design and development, demonstration, evaluation, and communication, together with a mental model for structuring research outputs, and demonstrate it on four published projects.","The DSRM satisfies its three design objectives of consistency with prior literature, provision of a nominal process, and provision of a mental model, and its application to four case studies shows that published design science research in IS fits the methodology, which could aid its acceptance in the discipline.","Case study of the CATCH data warehouse for community health assessment (Berndt et al., Miami-Dade County, Florida), Case study of a software reuse measure developed at MBA Technologies (Rothenberger and Hershauer), Case study of the SIP-based CGUsipClient voice- and video-over-IP application for Internet2 (Chatterjee et al., Claremont Graduate University), Case study of the critical success chains (CSC) IS planning method at Digia Ltd. (Peffers et al.)","The paper motivates, presents, demonstrates in use, and evaluates a methodology for conducting design science (DS) research in information systems (IS). DS is of importance in a discipline oriented to the creation of successful artifacts. Several researchers have pioneered DS research in IS, yet over the past 15 years, little DS research has been done within the discipline. The lack of a methodology to serve as a commonly accepted framework for DS research and of a template for its presentation may have contributed to its slow adoption. The design science research methodology (DSRM) presented here incorporates principles, practices, and procedures required to carry out such research and meets three objectives: it is consistent with prior literature, it provides a nominal process model for doing DS research, and it provides a mental model for presenting and evaluating DS research in IS. The DS process includes six steps: problem identification and motivation, definition of the objectives for a solution, design and development, demonstration, evaluation, and communication. We demonstrate and evaluate the methodology by presenting four case studies in terms of the DSRM, including cases that present the design of a database to support health assessment methods, a software reuse measure, an Internet video telephony application, and an IS planning method. The designed methodology effectively satisfies the three objectives and has the potential to help aid the acceptance of DS research in the IS discipline."
jmlr-v7-demsar06a,Demšar (2006),2006,Statistical Comparisons of Classifiers over Multiple Data Sets,Journal of Machine Learning Research,journal,Methodology & Theory,survey,"Wilcoxon signed-ranks test and Friedman test with post-hoc procedures (Nemenyi, Bonferroni-Dunn, Holm, Hochberg, Hommel)",Adopts non-parametric Friedman and post-hoc testing to compare multi-task optimization algorithms across leave-one-event-out disaster splits without normality assumptions.,"Machine learning studies frequently need to compare several classifiers over multiple data sets, yet no statistically sound, established procedure exists for this task, so researchers rely on ad hoc methods that either lack statistical grounding or misuse statistical tests.","The authors review current practice and, based on theoretical and empirical analysis, recommend simple, safe, and robust non-parametric tests: the Wilcoxon signed-ranks test for comparing two classifiers and the Friedman test with its corresponding post-hoc tests for comparing more classifiers over multiple data sets, with results visualized using newly introduced critical difference (CD) diagrams.","The authors conclude that non-parametric tests, namely the Wilcoxon signed-ranks test for two classifiers and the Friedman test with post-hoc tests for multiple classifiers, are safer and empirically at least as strong as parametric alternatives such as the paired t-test and ANOVA, and should therefore be preferred for comparing classifiers over multiple data sets.","14 UCI data sets with binary class attribute (C4.5 AUC worked examples), 40 real-world data sets with discrete classes from the UCI Machine Learning Repository (empirical comparison of tests), ICML proceedings papers from 1999-2003 (analysis of statistical testing practice)","While methods for comparing two learning algorithms on a single data set have been scrutinized for quite some time already, the issue of statistical tests for comparisons of more algorithms on multiple data sets, which is even more essential to typical machine learning studies, has been all but ignored. This article reviews the current practice and then theoretically and empirically examines several suitable tests. Based on that, we recommend a set of simple, yet safe and robust non-parametric tests for statistical comparisons of classifiers: the Wilcoxon signed ranks test for comparison of two classifiers and the Friedman test with the corresponding post-hoc tests for comparison of more classifiers over multiple data sets. Results of the latter can also be neatly presented with the newly introduced CD (critical difference) diagrams."
arxiv-1106.0245,Baxter (2000),2000,A Model of Inductive Bias Learning,Journal of Artificial Intelligence Research,journal,Methodology & Theory,methodology-theory,"bias learning (learning to learn) model, instantiated as neural-network feature learning trained by gradient descent",Proves that joint hard parameter sharing across related tasks reduces per-task sample complexity when learning representations from a shared environment.,"Standard supervised learning models take the learner's inductive bias (hypothesis space) as given, yet choosing a bias that both contains a solution and generalizes reliably normally depends on hand-crafted expert knowledge, and no formal model explains how such bias could itself be learned.","The authors formalize a bias-learning model in which the learner, embedded in an environment of related tasks governed by a distribution over tasks, samples multiple tasks and selects a hypothesis space from a given family by minimizing average empirical error, with sample-complexity bounds proving when the chosen bias transfers to novel tasks from the same environment.","The paper proves that a hypothesis space performing well on sufficiently many training tasks from an environment will, with high probability, contain good solutions to novel tasks from that environment, and for neural-network feature learning the examples required per task decay as O(k + W/n) toward the minimum O(k) as the number of tasks grows, with at most O(W) tasks needed for the learned features to generalize.",N/A,"A major problem in machine learning is that of inductive bias: how to choose a learner’s hypothesis space so that it is large enough to contain a solution to the problem being learnt, yet small enough to ensure reliable generalization from reasonably-sized training sets. Typically such bias is supplied by hand through the skill and insights of experts. In this paper a model for _automatically learning_ bias is investigated. The central assumption of the model is that the learner is embedded within an _environment_ of related learning tasks. Within such an environment the learner can sample from multiple tasks, and hence it can search for a hypothesis space that contains good solutions to many of the problems in the environment. Under certain restrictions on the set of all hypothesis spaces available to the learner, we show that a hypothesis space that performs well on a sufficiently large number of training tasks will also perform well when learning novel tasks in the same environment. Explicit bounds are also derived demonstrating that learning multiple tasks within an environment of related tasks can potentially give much better generalization than learning a single task."
arxiv-1810.04805,Devlin et al. (2018),2018,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,arXiv,preprint,Crisis Informatics & Triage,experimental,BERT (Bidirectional Encoder Representations from Transformers),"Provides the bidirectional encoder architecture that crisis classification systems fine-tune, including shared encoders in multi-task triage models and domain-adaptive crisis language models.","Pre-trained language representations relied on unidirectional language models, and this unidirectionality restricted pre-training architectures and harmed downstream tasks that need context from both directions.","The authors pre-train a bidirectional Transformer using masked language modeling and next sentence prediction objectives, then fine-tune all parameters with one task-specific output layer.",Pre-training a deep bidirectional Transformer with masked language modeling and next sentence prediction achieved new state-of-the-art results on eleven NLP tasks and outperformed task-specific architectures after simple fine-tuning.,"BooksCorpus (800M words), English Wikipedia (2,500M words), GLUE benchmark (MNLI, QQP, QNLI, SST-2, CoLA, STS-B, MRPC, RTE, WNLI), SQuAD v1.1, SQuAD v2.0, TriviaQA (augmentation data for SQuAD v1.1), SWAG, CoNLL-2003 Named Entity Recognition, Cloud TPU","We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers. Unlike recent language representation models [Peters et al. (2018a)](#bib.bib36 """"); [Radford et al. (2018)](#bib.bib38 """"), BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. As a result, the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications.
BERT is conceptually simple and empirically powerful. It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement)."
arxiv-1910.01108,Sanh et al. (2019),2019,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",arXiv,preprint,Crisis Informatics & Triage,experimental,DistilBERT,"Shows that distillation retains most encoder accuracy at lower parameter counts and faster inference, supporting the deployment constraints of operational disaster response.","Growing parameter counts in pre-trained language models inflate computational and memory costs, hindering deployment on edge devices and under constrained operational budgets.","The authors pre-train a smaller general-purpose model, DistilBERT, from a BERT teacher with a triple loss that combines masked language modeling, distillation, and cosine-distance objectives.",Knowledge distillation during pre-training produces a 40% smaller and 60% faster general-purpose model that retains 97% of BERT's language understanding performance and supports on-device use.,"English Wikipedia and Toronto Book Corpus (pre-training corpus), GLUE benchmark, IMDb, SQuAD v1.1, 8 16GB V100 GPUs (pre-training), Intel Xeon E5-2690 v3 CPU (inference timing), iPhone 7 Plus (on-device inference)","As Transfer Learning from large-scale pre-trained models becomes more prevalent in Natural Language Processing (NLP), operating these large models in on-the-edge and/or under constrained computational training or inference budgets remains challenging. In this work, we propose a method to pre-train a smaller general-purpose language representation model, called DistilBERT, which can then be fine-tuned with good performances on a wide range of tasks like its larger counterparts. While most prior work investigated the use of distillation for building task-specific models, we leverage knowledge distillation during the pre-training phase and show that it is possible to reduce the size of a BERT model by 40%, while retaining 97% of its language understanding capabilities and being 60% faster. To leverage the inductive biases learned by larger models during pre-training, we introduce a triple loss combining language modeling, distillation and cosine-distance losses. Our smaller, faster and lighter model is cheaper to pre-train and we demonstrate its capabilities for on-device computations in a proof-of-concept experiment and a comparative on-device study."
arxiv-1911.02116,Conneau et al. (2019),2019,Unsupervised Cross-lingual Representation Learning at Scale,arXiv,preprint,Philippine NLP & Code-Switching,experimental,XLM-RoBERTa (XLM-R),"Establishes the scaled multilingual pretraining baseline for cross-lingual transfer to low-resource languages, including Philippine languages, across classification and entity recognition evaluations.","Multilingual language models pretrain on Wikipedia, which gives limited data, especially for low-resource languages, and the trade-offs of scaling such models to many languages remain poorly understood.","The authors pretrain a large Transformer masked language model named XLM-R on cleaned CommonCrawl data in 100 languages while evaluating capacity, sampling, and vocabulary trade-offs.","XLM-R sets a new state of the art on XNLI, NER, and MLQA, and shows that a single multilingual model can match strong monolingual models without losing per-language performance.","CC-100 (2.5 TB filtered CommonCrawl corpus in 100 languages, created by the authors), Wikipedia corpora (used in ablations and monolingual BERT baselines), XNLI, CoNLL-2002, CoNLL-2003, MLQA, SQuAD (English training set), GLUE, 500 Nvidia V100 GPUs with 32 GB memory","This paper shows that pretraining multilingual language models at scale leads to significant performance gains for a wide range of cross-lingual transfer tasks. We train a Transformer-based masked language model on one hundred languages, using more than two terabytes of filtered CommonCrawl data. Our model, dubbed XLM-R, significantly outperforms multilingual BERT (mBERT) on a variety of cross-lingual benchmarks, including +14.6% average accuracy on XNLI, +13% average F1 score on MLQA, and +2.4% F1 score on NER. XLM-R performs particularly well on low-resource languages, improving 15.7% in XNLI accuracy for Swahili and 11.4% for Urdu over previous XLM models. We also present a detailed empirical analysis of the key factors that are required to achieve these gains, including the trade-offs between (1) positive transfer and capacity dilution and (2) the performance of high and low resource languages at scale. Finally, we show, for the first time, the possibility of multilingual modeling without sacrificing per-language performance; XLM-R is very competitive with strong monolingual models on the GLUE and XNLI benchmarks. We will make our code, data and models publicly available."
arxiv-2010.12821,Chung et al. (2020),2020,Rethinking embedding coupling in pre-trained language models,arXiv,preprint,Philippine NLP & Code-Switching,experimental,Rebalanced mBERT (RemBERT),Shows that decoupling input and output embeddings reallocates parameters toward deeper layers and improves multilingual transfer at identical fine-tuning parameter counts.,"Tying input and output embeddings forces both matrices to share one dimensionality, which pushes multilingual models to spend a large share of their parameter budget on input embeddings.","The authors decouple input and output embedding shapes, shrink input embeddings, enlarge pre-training output embeddings, and reinvest saved parameters into wider or deeper Transformer layers.","Reallocating parameters away from input embeddings improves performance at identical fine-tuning parameter counts, allowing RemBERT to outperform XLM-R on XTREME despite using 3.5 times fewer pre-training tokens.","XTREME benchmark tasks: XNLI, PAWS-X, Wikiann NER, XQuAD, MLQA, TyDiQA-GoldP, Wikipedia dumps in 104 languages for mBERT-scale pre-training, Wikipedia and Common Crawl text in 110 languages for RemBERT pre-training, MNLI, SQuAD, Word embedding association test datasets: MEN, MTurk771, Rare-Word, SimLex999, Verb-143, WMT16 English-German sentence pairs for nearest-neighbor translation, NLP probing tasks from Tenney et al. (2019), Google Cloud TPUs (64 for pre-training, 8 for fine-tuning)","We re-evaluate the standard practice of sharing weights between input and output embeddings in state-of-the-art pre-trained language models. We show that decoupled embeddings provide increased modeling flexibility, allowing us to significantly improve the efficiency of parameter allocation in the input embedding of multilingual models. By reallocating the input embedding parameters in the Transformer layers, we achieve dramatically better performance on standard natural language understanding tasks with the same number of parameters during fine-tuning. We also show that allocating additional capacity to the output embedding provides benefits to the model that persist through the fine-tuning stage even though the output embedding is discarded after pre-training. Our analysis shows that larger output embeddings prevent the model’s last layers from overspecializing to the pre-training task and encourage Transformer representations to be more general and more transferable to other tasks and languages. Harnessing these findings, we are able to train models that achieve strong performance on the xtreme benchmark without increasing the number of parameters at the fine-tuning stage."
arxiv-2103.06874,Clark et al. (2022),2022,Canine: Pre-training an Efficient Tokenization-Free Encoder for Language Representation,Transactions of the Association for Computational Linguistics,journal,Philippine NLP & Code-Switching,experimental,Canine (Canine-C and Canine-S variants),"Removes subword vocabulary requirements through character-level encoding, addressing segmentation brittleness that affects code-switched and low-resource text.",Explicit tokenization with fixed subword vocabularies is brittle across languages and restricts how well pretrained encoders can represent and adapt to diverse text.,"The authors propose Canine, a tokenization-free encoder that embeds raw Unicode characters with hash embeddings and downsamples the sequence with strided convolutions before its deep transformer stack.","A tokenization-free character encoder with downsampling outperforms a comparable mBert on multilingual question answering while using fewer parameters, and with vocabulary-free n-grams it stays competitive on named entity recognition.","TyDi QA (multilingual question answering, 11 languages), CoNLL 2002 and CoNLL 2003 named entity recognition data (Spanish, Dutch, English, German), MasakhaNER (ten African languages), multilingual Wikipedia corpus of mBert (104 languages) for pre-training, 64 Cloud TPUs v3","Pipelined NLP systems have largely been superseded by end-to-end neural modeling, yet nearly all commonly-used models still require an explicit tokenization step. While recent tokenization approaches based on data-derived subword lexicons are less brittle than manually engineered tokenizers, these techniques are not equally suited to all languages, and the use of any fixed vocabulary may limit a model’s ability to adapt. In this paper, we present Canine, a neural encoder that operates directly on character sequences—without explicit tokenization or vocabulary—and a pre-training strategy that operates either directly on characters or optionally uses subwords as a soft inductive bias. To use its finer-grained input effectively and efficiently, Canine combines downsampling, which reduces the input sequence length, with a deep transformer stack, which encodes context. Canine outperforms a comparable mBert model by 5.7 F1 on TyDi QA, a challenging multilingual benchmark, despite having fewer model parameters."
arxiv-2209.07562,Zhang et al. (2023),2023,TwHIN-BERT: A Socially-Enriched Pre-trained Language Model for Multilingual Tweet Representations at Twitter,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,conference,Crisis Informatics & Triage,experimental,TwHIN-BERT,"Demonstrates that social engagement signals improve multilingual tweet representations, supporting domain-adaptive pretraining for short and noisy social media text in crisis settings.","Most pre-trained language models target general text corpora, so they handle short, noisy user-generated text on social media poorly and ignore the social engagement signals inside social networks.",TwHIN-BERT is a multilingual Twitter language model pre-trained with masked language modeling plus a contrastive social objective built from socially similar Tweet pairs mined through network embedding.,"TwHIN-BERT outperforms established multilingual and Twitter-specific language models on both social engagement prediction and semantic classification tasks, and the social objective produces the largest gains on social tasks.","7 billion Tweets in 100 languages collected from Jan. 2020 to Jun. 2022 for pre-training, with 100 billion user-Tweet engagement records covering 1 billion Tweets, Twitter Heterogeneous Information Network (TwHIN) with about 200 million users, 1 billion Tweets, and over 100 billion engagement edges, Curated Tweet engagement prediction dataset sampled from the 50 most popular languages on Twitter, Curated multilingual Tweet hashtag prediction dataset covering 50 popular languages, SemEval2017 Task 4A English sentiment dataset, SemEval2018 Task 2 emoji prediction datasets in English and Spanish, SemEval2020 Task 9 code-mixed sentiment datasets in Hindi+English and Spanish+English, ASAD Arabic Tweet sentiment dataset, COVID-JA Japanese Tweet topic classification dataset, 16 Nvidia A100 GPUs (a2-megagpu-16g) and a FAISS index on a 16 A100 GPU node for training and pair mining","Pre-trained language models (PLMs) are fundamental for natural language processing applications. Most existing PLMs are not tailored to the noisy user-generated text on social media, and the pre-training does not factor in the valuable social engagement logs available in a social network. We present TwHIN-BERT, a multilingual language model productionized at Twitter, trained on in-domain data from the popular social network. TwHIN-BERT differs from prior pre-trained language models as it is trained with not only text-based self-supervision but also with a social objective based on the rich social engagements within a Twitter heterogeneous information network (TwHIN). Our model is trained on 77 billion tweets covering over 100100 distinct languages, providing a valuable representation to model short, noisy, user-generated text. We evaluate our model on various multilingual social recommendation and semantic understanding tasks and demonstrate significant metric improvement over established pre-trained language models. We open-source TwHIN-BERT and our curated hashtag prediction and social engagement benchmark datasets to the research community1."
arxiv-2301.10472,Liang et al. (2023),2023,XLM-V: Overcoming the Vocabulary Bottleneck in Multilingual Masked Language Models,arXiv,preprint,Philippine NLP & Code-Switching,experimental,XLM-V,Shows that a one-million-token vocabulary overcomes the shared vocabulary bottleneck that reduces token coverage for low-resource languages in multilingual encoders.,"Multilingual language models keep a vocabulary near 250,000 tokens even as parameter counts grow, and this fixed size limits token coverage and representation quality across more than 100 languages.","The authors build a one million token vocabulary by clustering lexically similar languages, allocating vocabulary capacity per cluster, and pretraining a masked language model named XLM-V with this vocabulary.","A one million token vocabulary lets XLM-V outperform XLM-R on every tested multilingual understanding task, with the largest gains on low-resource languages.","CC100, MultiNLI, SQuAD v1.1, XNLI, MLQA, XQuAD, TyDiQA-GoldP, WikiAnn (PAN-X), Americas NLI, MasakhaNER, FLoRes-200, 256 NVIDIA A100 GPUs","Large multilingual language models typically rely on a single vocabulary shared across 100+ languages. As these models have increased in parameter count and depth, vocabulary size has remained largely unchanged. This vocabulary bottleneck limits the representational capabilities of multilingual models like XLM-R. In this paper, we introduce a new approach for scaling to very large multilingual vocabularies by de-emphasizing token sharing between languages with little lexical overlap and assigning vocabulary capacity to achieve sufficient coverage for each individual language. Tokenizations using our vocabulary are typically more semantically meaningful and shorter compared to XLM-R. Leveraging this improved vocabulary, we train XLM-V, a multilingual language model with a one million token vocabulary. XLM-V outperforms XLM-R on every task we tested on ranging from natural language inference (XNLI), question answering (MLQA, XQuAD, TyDiQA), to named entity recognition (WikiAnn). XLM-V is particularly effective on low-resource language tasks and outperforms XLM-R by 11.2% and 5.8% absolute on MasakhaNER and Americas NLI, respectively."
arxiv-2509.06888,Marone et al. (2025),2025,mmBERT: A Modern Multilingual Encoder with Annealed Language Learning,arXiv,preprint,Philippine NLP & Code-Switching,experimental,mmBERT,Demonstrates that modern encoder architecture and annealed language learning extend multilingual pretraining to more than 1700 low-resource languages under a modest compute budget.,"Recent encoder-only language model research has largely ignored multilinguality, so the six-year-old XLM-R model remains the strongest multilingual encoder for classification and retrieval tasks.","The authors pre-train mmBERT, a ModernBERT-style encoder, and progressively add languages while lowering the masking rate, holding over 1700 low-resource languages until the short decay phase.","mmBERT outperforms previous multilingual encoders on classification and retrieval, while decay-phase training on low-resource languages matches or exceeds large models like o3 and Gemini 2.5 Pro.","FineWeb2 (pre-training corpus), FineWeb2-HQ (pre-training corpus), MegaWika v2 (pre-training corpus), Dolma (pre-training corpus), Dolmino (mid-training corpus), GLUE, XTREME, MTEB (MMTEB v2, English and multilingual), CoIR, MS MARCO (embedding fine-tuning), XNLI, PAWS-X, TiQuaD, FoQA, NVIDIA H100 and L40S GPUs","Encoder-only languages models are frequently used for a variety of standard machine learning tasks, including classification and retrieval. However, there has been a lack of recent research for encoder models, especially with respect to multilingual models. We introduce mmBERT, an encoder-only language model pretrained on 3T tokens of multilingual text in over 1800 languages. To build mmBERT we introduce several novel elements, including an inverse mask ratio schedule and an inverse temperature sampling ratio. We add over 1700 low-resource languages to the data mix only during the decay phase, showing that it boosts performance dramatically and maximizes the gains from the relatively small amount of training data. Despite only including these low-resource languages in the short decay phase we achieve similar classification performance to models like OpenAI’s o3 and Google’s Gemini 2.5 Pro. Overall, we show that mmBERT significantly outperforms the previous generation of models on classification and retrieval tasks – on both high and low-resource languages."
hf-aisingapore-sea-lion-modernbert,AI Singapore (2026),2026,SEA-LION-ModernBERT and Embedding,Hugging Face,preprint,Philippine NLP & Code-Switching,tool-system,SEA-LION-ModernBERT (300M and 600M variants),"Defines the regional encoder backbone candidate for Taglish disaster triage, combining Southeast Asian language coverage with efficient ModernBERT architecture and tokenizer fertility gains.",Complex regional scripts and diverse Southeast Asian languages suffer from high tokenization fertility and poor representation in standard encoder models.,The authors combine ModernBERT with a Gemma 3 SentencePiece tokenizer and train encoder models on three trillion tokens across 13 regional languages.,Adopting the Gemma 3 tokenizer with ModernBERT improves tokenization fertility and computational efficiency for cross-lingual tasks across Southeast Asian languages.,"2T pre-training token corpus (code and 13 Southeast Asian and regional languages), 1T mid-training token corpus (code and 13 Southeast Asian and regional languages), 245 million EN-EN and EN-SEA text pairs for contrastive pre-training (600M variant), 8 million multilingual text pairs for fine-tuning (600M variant), SEA-BED (Southeast Asia Embedding Benchmark, 169 datasets across 10 SEA languages), CMTEB (Chinese Massive Text Embedding Benchmark), MTEB (Massive Text Embedding Benchmark), Nvidia H200 140GB GPUs (SMC H200 cloud infrastructure)","SEA-LION is a collection of Large Language Models (LLMs) which have been pretrained and fine-tuned for the Southeast Asia (SEA) region.

This encoder-only model leverages the advanced ModernBERT architecture combined with the Gemma 3 SentencePiece tokenizer. The adoption of the Gemma 3 tokenizer with ModernBERT allows the model to achieve highly efficient and culturally nuanced text processing. This combination significantly improves the tokenization fertility and compression rates for complex regional scripts and diverse Southeast Asian languages, enabling the model to handle longer context windows and cross-lingual tasks with greater computational efficiency.

To achieve this level of performance, the model was developed through a rigorous, multi-stage training pipeline. The foundation was established through extensive pre-training on 2 Trillion (2T) tokens, followed by a mid-training phase on an additional 1 Trillion (1T) tokens. Both of these massive training phases comprehensively covered code alongside 13 specific languages: Burmese, Chinese, English, Filipino, Indonesian, Javanese, Khmer, Lao, Malay, Sundanese, Tamil, Thai, and Vietnamese."
openreview-Bkg6RiCqY7,Loshchilov and Hutter (2019),2019,Decoupled Weight Decay Regularization,International Conference on Learning Representations,conference,Methodology & Theory,methodology-theory,AdamW (Adam with decoupled weight decay),Supplies the AdamW optimizer whose decoupled weight decay underpins the optimizer-controlled comparison conditions of the proposed benchmark.,"L2 regularization and weight decay regularization are equivalent for standard stochastic gradient descent but not for adaptive gradient methods, which confounds regularization comparisons in deep learning.","The authors decouple the weight decay term from the gradient-based optimization step of Adam, producing the AdamW update rule.","Decoupled weight decay improves generalization over L2-regularized Adam, and its optimal value is more independent of the learning rate schedule.","CIFAR-10 image classification with ResNet, WMT English-German machine translation with Transformer models, Language modeling with recurrent and self-attention networks","The authors show that L2 regularization and weight decay regularization are not equivalent for adaptive gradient methods such as Adam, because the adaptive rescaling couples the decay term to the gradient statistics. They propose AdamW, a variant that decouples weight decay from the gradient-based optimization step. Experiments on image classification, language modeling, and machine translation show that decoupled weight decay yields better generalization than L2 regularization and that its optimal value interacts less strongly with the learning rate schedule."
